,Time[ms],Stimulation[V],mean delta F/F,median delta F/F,STD delta F/F,delta F/F repetition #1,delta F/F repetition #2,delta F/F repetition #3,delta F/F repetition #4,delta F/F repetition #5
104,104.0,0.0,0.30820697571679084,0.2694890975648577,0.09583256381994573,0.45392152486385123,0.220624331130835,0.38604545261998563,0.2694890975648577,0.21095447240442466
208,208.0,0.0,0.26662810142477766,0.28217346665476284,0.056822887970543884,0.28217346665476284,0.31814478987525113,0.16843520989537,0.32170406918138894,0.24268297151711546
312,312.0,0.0,0.18787433626296585,0.20180393347537254,0.11589600575671159,0.3551133827336843,0.2609880894700696,0.03503198203922553,0.08643429359647725,0.20180393347537254
416,416.0,0.0,0.09817921506542537,0.15507115969267982,0.09814819144470148,0.185485670922239,0.15507115969267982,-0.04877260981912143,0.010934267069871077,0.18817758746145846
520,520.0,0.0,0.051764852136067664,-0.01849027830728168,0.13337372006975162,0.29224511204356746,-0.0788160816113556,-0.01849027830728168,0.09651440394715897,-0.03262889539175084
624,624.0,0.0,0.08860534540099141,0.10123056720464277,0.08152390165063293,-0.012448665297741314,0.005047466416778157,0.10123056720464277,0.19792031407501737,0.15127704460626004
728,728.0,0.0,0.16894209269647784,0.12879654339814467,0.10798800283145124,0.3156749397375232,0.10054467912915246,0.12879654339814467,0.027868852459016345,0.2718254487585524
832,832.0,0.0,0.019203579992106812,0.05448034378481618,0.0868270278184361,0.06876060173198814,0.038936837453478805,-0.15169229465836417,0.05448034378481618,0.0855324116486151
936,936.0,0.0,0.054269289440182375,0.0062614140360032905,0.08101315064344429,0.05572047138648327,0.0062614140360032905,-0.006820011013682405,0.21052045201336947,0.005664120778738271
1040,1040.0,0.0,0.050599882458932766,0.0713506587029272,0.10982673689278853,0.1941790911525755,-0.01771405144369235,0.0713506587029272,0.12504111623958827,-0.11985740235673478
1144,1144.0,0.0,0.00908962291050498,0.02774476906405913,0.11847077968317588,-0.11146884206767267,0.2103057763674217,0.029699877155081083,-0.11083346596636434,0.02774476906405913
1248,1248.0,0.0,-0.05731346839459175,-0.09026537809124183,0.06670831291268534,-0.09026537809124183,-0.11189615423523955,-0.12935781759647563,0.03391691866942538,0.011035089280572886
1352,1352.0,0.0,0.06409090500999906,0.044482635478975005,0.08105132775234285,0.044482635478975005,0.1878477454117573,-0.03851082306095636,0.005793410791023424,0.12084155642919588
1456,1456.0,0.0,0.019233328096070552,0.0005242089210828039,0.031104892458567134,-0.012448665297741314,-0.004259465330614285,0.0005242089210828039,0.04611385219375034,0.06623670999387521
1560,1560.0,0.0,-0.034454108438633536,-0.03740308961560397,0.07885329072466572,0.10533657709133099,-0.02095124509495931,-0.1148705892320074,-0.10438219534192797,-0.03740308961560397
1664,1664.0,0.0,0.08108946565136928,0.06240649142516385,0.07096060794584785,-0.005451522185519177,0.06240649142516385,0.06209492947007232,0.07514457000371386,0.2112528595434155
1768,1768.0,0.0,0.05418938304512242,0.10770332643641567,0.09945701233269987,-0.09418801892688168,-0.029651203032739184,0.11541597831151772,0.10770332643641567,0.17166683243729958
1872,1872.0,0.0,0.026670718827103822,0.03529499459580359,0.10075394159077461,0.19439112579233975,0.03529499459580359,-0.05752531028932103,0.05548835481988444,-0.09429557078318762
1976,1976.0,0.0,-0.03682006428254957,-0.0428368704197908,0.02727859684284063,-0.037468752789929415,-0.05747083597331435,-0.0428368704197908,-0.061138521937503326,0.014814659707790034
2080,2080.0,0.0,-0.005908426651412134,-0.05659932889068036,0.12618282441597162,0.02985224533523779,0.21779178668597626,-0.15460986148176384,-0.06597697490583052,-0.05659932889068036
2184,2184.0,0.0,-0.07212387680624999,-0.10145686211896741,0.08723858959538011,-0.1569502722971164,-0.1594424359882224,-0.0036006269326894443,0.060830813305745676,-0.10145686211896741
2288,2288.0,0.0,0.02879573341933785,0.05082708518659724,0.050729136034809476,-0.02082403356843155,0.07727734976067155,0.05082708518659724,0.07897501193697279,-0.042276746219120774
2392,2392.0,0.0,-0.007187304714168316,-0.022682657425390065,0.04465760454252989,0.04119609856262828,-0.02530122406384925,0.044388317024611317,-0.07353705766884186,-0.022682657425390065
2496,2496.0,0.0,-0.007188260593956599,-0.05559446124462833,0.07198492850063037,-0.06036849388447465,-0.07325215502324071,0.04257741347905274,-0.05559446124462833,0.11069639370350794
2600,2600.0,0.0,-0.05468174142035922,-0.04293747617232189,0.07941655553664928,-0.046586242299794814,-0.026009360175063972,-0.04293747617232189,-0.2000424425698976,0.0421668141152822
2704,2704.0,0.0,-0.031555823426458365,-0.024023594696488314,0.05056971863391614,-0.05527966253013133,-0.023986114143021958,-0.024023594696488314,0.05044829964454349,-0.10493804540719372
2808,2808.0,0.0,-0.02206907865325836,0.032396661012409546,0.10421472641687225,0.032396661012409546,-0.11139034272722914,0.08322213750158848,0.06476205634251167,-0.17933590539557234
2912,2912.0,0.0,-0.004456886036802505,-0.0176100760625461,0.08028081557971045,0.049465449513436295,-0.1295995570156054,0.1081723641292836,-0.03271261074858091,-0.0176100760625461
3016,3016.0,0.0,0.01315735178863286,0.042275193406347736,0.07353487274416916,0.009072850638335817,0.042275193406347736,0.06813127462193405,0.07302774683007045,-0.12672030655352376
3120,3120.0,0.0,0.10895076623887792,0.08841682065885992,0.07139674865592546,0.03600124988840274,0.19766048866716035,0.18835514889651378,0.034320123083452725,0.08841682065885992
3224,3224.0,0.0,0.11435075790777705,0.11933960266022778,0.06148724580309866,0.16788679582180152,0.19432213271429122,0.11933960266022778,0.048734680884927606,0.04147057745763705
3328,3328.0,0.0,0.21305859279003894,0.21062125311687635,0.07294241276995009,0.17445986965449498,0.23559635176794466,0.3328250095310712,0.21062125311687635,0.1117904798798076
3432,3432.0,0.0,0.35384640535061895,0.38188232797495886,0.1296867929232955,0.4456521739130434,0.14272935889722455,0.5138147583343923,0.38188232797495886,0.28515340763347585
3536,3536.0,0.0,0.601843652384264,0.5960907508258191,0.10867505016906867,0.5960907508258191,0.45855806449895387,0.7656309569195578,0.5184678232266965,0.6704706664502926
3640,3640.0,0.0,0.9572375320173444,0.9100002118015843,0.26615339157738677,1.4245100883849655,0.6671547304024665,0.9100002118015843,1.0354766831131623,0.7490459463845428
3744,3744.0,0.0,1.0068412309644272,0.8182503050559714,0.25723479144737504,1.427160521382019,0.816166800662347,1.1880745117973481,0.8182503050559714,0.7845540159244506
3848,3848.0,0.0,1.2876878951759732,1.3319949535929478,0.22204845300575388,1.4688253280957053,1.0665434971275236,1.5708794001779132,1.0001962968857765,1.3319949535929478
3952,3952.0,0.0,1.4429349332253047,1.3466159234034984,0.1937572645150409,1.7878314436211054,1.3403898475643847,1.5083026221036129,1.2315348294339226,1.3466159234034984
4056,4056.0,0.0,1.6940684900618923,1.574964189081649,0.27036498470032244,2.085634095170074,1.3594083602655778,1.5201741009022747,1.574964189081649,1.930161704889885
4160,4160.0,0.0,1.637134468571966,1.6467345747785032,0.2515405516103549,1.7408657709133106,1.2181857872290582,1.5858696573050366,1.6467345747785032,1.9940165526339215
4264,4264.0,0.0,1.4240619725053008,1.3440288609475306,0.2939662102760554,1.616931523971074,1.0314401784715976,1.2515567416444273,1.3440288609475306,1.8763525574918736
4368,4368.0,0.0,1.1504657465141022,1.1228819841572415,0.2734997220301545,1.1340226319078652,0.8706932812258744,1.1228819841572415,0.9643111040373495,1.6604197312421805
4472,4472.0,0.0,1.0719494448365072,0.9998938935752559,0.2220571053711886,1.0783635389697346,0.8135365808206928,0.9869636124878214,0.9998938935752559,1.4809895983290322
4576,4576.0,0.0,0.7250699949851012,0.6901321024988062,0.2967131818569818,0.775896125345951,0.4743393835488802,0.4265895708899903,0.6901321024988062,1.258392792641878
