,Time[ms],Stimulation[V],mean delta F/F,median delta F/F,STD delta F/F,delta F/F repetition #1,delta F/F repetition #2,delta F/F repetition #3,delta F/F repetition #4,delta F/F repetition #5
64,64.0,0.0,0.2885383726962186,0.310465062039369,0.16523030567866137,0.41958651761599686,0.02969813890149798,0.310465062039369,0.49353827066891814,0.18940387425531113
128,128.0,0.0,0.3637829070176542,0.3884849111440421,0.25108161044864247,0.12823525137161365,0.03708579210167936,0.5696660136206733,0.3884849111440421,0.6954425668502627
192,192.0,0.0,0.3288346834814882,0.34516979195820485,0.0864626871869905,0.2393692395266876,0.43250113481615965,0.34516979195820485,0.21897508357169923,0.4081581675346895
256,256.0,0.0,0.3289671517432934,0.28556823011797683,0.14261993597275172,0.4567563312219169,0.1922265093054923,0.1770687564138442,0.28556823011797683,0.533215931657237
320,320.0,0.0,0.22242681700498093,0.28123014071720376,0.13309432484826325,0.05126745552097103,0.28123014071720376,0.35167692881798657,0.07439317181881884,0.35356638814992447
384,384.0,0.0,0.15542653799234774,0.11926342029385077,0.14887559741173717,0.03287027504935409,0.4040059010440307,0.23021037410206144,0.11926342029385077,-0.009217280527558292
448,448.0,0.0,0.21092439620812606,0.21302159441467752,0.11299722131352166,0.33360785786088915,0.17076713572401261,0.3162491836925083,0.020976209348542708,0.21302159441467752
512,512.0,0.0,0.03050567551423513,0.06174783095437971,0.12457986056904033,0.1766686448581154,-0.01603495233772142,0.06174783095437971,-0.1841449265373172,0.11429178063371916
576,576.0,0.0,0.031127768362459386,0.04676202356873838,0.0706424093072387,0.04676202356873838,0.1334770767135724,0.0501795876481013,0.009936703771352353,-0.0847165498894675
640,640.0,0.0,0.0451637202653651,-0.009830674503218888,0.09076726768835354,-0.05798926932067273,0.17322968679073975,-0.009830674503218888,-0.012854533549298656,0.13326339190927605
704,704.0,0.0,-0.014165423293435819,-0.0871933016139568,0.1374389725558664,-0.10829992612060486,-0.04453018610985033,-0.0871933016139568,-0.0883505071739555,0.2575468045511884
768,768.0,0.0,-0.0005214906898290975,0.04111556571371481,0.147058246493712,0.19018494071481376,-0.1750453926463914,-0.16708648194794307,0.10822391471666042,0.04111556571371481
832,832.0,0.0,0.06071956024645677,0.04450930759262195,0.09169408155124925,0.04450930759262195,0.1978551974580116,-0.048150480455266556,-0.019620682128866807,0.12900445876578367
896,896.0,0.0,0.08933407478867135,0.06066330814441627,0.15891873855866678,-0.12632165392953587,0.08422605537902848,0.06066330814441627,0.05943642232714153,0.3686662420223063
960,960.0,0.0,-0.08789846302547015,-0.08352005038332488,0.09913660999519698,-0.08352005038332488,0.02266227871084873,-0.08863933202724163,-0.02175736062767791,-0.26823785079995505
