,Time[ms],Stimulation[V],mean delta F/F,median delta F/F,STD delta F/F,delta F/F repetition #1,delta F/F repetition #2,delta F/F repetition #3,delta F/F repetition #4,delta F/F repetition #5
64,64.0,0.0,0.361539802793933,0.36168979804711276,0.12473018768333316,0.5498975443698978,0.19661573682376926,0.36168979804711276,0.4358624115236555,0.2636335232052297
128,128.0,0.0,0.24824922612265712,0.2561688150102024,0.14395267890365723,0.4210595895164754,0.2561688150102024,0.09087879929302012,0.08060882368593782,0.3925301031076499
192,192.0,0.0,0.25819031515003077,0.22523992833194367,0.14782424353779935,0.3078461182536271,0.10157766386303671,0.5170805203836238,0.22523992833194367,0.13920734491792225
256,256.0,0.0,0.2163896533557796,0.26333555471851194,0.14746331108367852,0.35318273457381766,-0.04838500970487245,0.26333555471851194,0.34182469709602425,0.1719902900954166
320,320.0,0.0,0.31280964656562765,0.3949334038404337,0.1763353372008963,0.3949334038404337,-0.013517145274473896,0.27231767739692286,0.4611591066328429,0.4491551902324126
384,384.0,0.0,0.2082043842810532,0.2606532554618211,0.10246482407427819,0.2653270317612453,0.33917284626486816,0.07381276620403919,0.10205602171329226,0.2606532554618211
448,448.0,0.0,0.2369523980072128,0.32025861032999225,0.2772443393261109,-0.010790891363981812,0.5153635594485639,-0.1606206357024889,0.5205513473239785,0.32025861032999225
512,512.0,0.0,0.08574292313053533,0.08275518837406039,0.057331059501877335,0.18080113692699226,0.08275518837406039,0.1092921507837626,0.036614571322133506,0.01925156824572785
576,576.0,0.0,0.04463518930725795,-0.024878540503024047,0.11825409040169874,-0.024878540503024047,-0.06967600656945225,0.12725639614058465,0.23678841957744207,-0.04631432210926067
640,640.0,0.0,0.1387674235176734,0.07627531976310144,0.1558210471159076,0.013286181710017466,0.07627531976310144,-0.026337901660243936,0.23733834773198978,0.39327517004350226
704,704.0,0.0,0.11346538728934515,0.06605083121261199,0.14322712480084754,0.06605083121261199,-0.009505798039118251,0.3818995740735376,0.12900250128612215,-0.00012017208642782483
768,768.0,0.0,0.03276647480903636,0.09215731493143622,0.143508512157381,-0.15294807813068048,0.10774896730204539,0.22875438240662957,0.09215731493143622,-0.11188021246424888
832,832.0,0.0,0.023967075599136876,0.02671586454027762,0.15919469833283992,-0.0686783223716825,0.08553227492161446,0.27680873873612843,0.02671586454027762,-0.20054317783065362
896,896.0,0.0,0.0504635886192901,-0.032903117263921984,0.21184202716010422,-0.0940360908219585,-0.025242621808590226,0.4712716947237272,-0.06677192173280598,-0.032903117263921984
960,960.0,0.0,0.03367867240770056,-0.0031004398298364213,0.10061784057128435,-0.011559308589747899,0.2067983874981336,-0.09280560948048554,0.0690603324404391,-0.0031004398298364213
1024,1024.0,0.0,0.02066914260394884,0.054762200422202756,0.11871729504013423,-0.11350266054136224,0.1947643457920668,0.07920203981108576,0.054762200422202756,-0.11188021246424888
1088,1088.0,0.0,-0.02918858159441102,-0.11795555298003649,0.13062382231981925,-0.12605347522887272,0.03955606430100011,-0.11795555298003649,-0.13881250997853528,0.19732256591438926
