,Time[ms],Stimulation[V],mean delta F/F,median delta F/F,STD delta F/F,delta F/F repetition #1,delta F/F repetition #2,delta F/F repetition #3,delta F/F repetition #4,delta F/F repetition #5
51,51.0,0.0,0.18702756858409825,0.28352412101390023,0.2671159641871669,-0.3176750338572014,0.4284939610549667,0.1691271779287044,0.3716676167801214,0.28352412101390023
102,102.0,0.0,0.19093457630611815,0.25224407365513374,0.40401877259577035,-0.4881027369216718,0.10415085038205579,0.25224407365513374,0.7618289125113176,0.3245517819037553
153,153.0,0.0,-0.02742938341913263,0.17549713289292782,0.2935083377766665,-0.509188686970489,0.19182154301207785,-0.22960672275434857,0.17549713289292782,0.23432981672416878
204,204.0,0.0,0.1297141370248785,0.20491098952846543,0.260882307601934,-0.3653743189190892,0.15221592309588372,0.20491098952846543,0.3993494517286474,0.25746863969048517
255,255.0,0.0,-0.034266615999275545,-0.01650280198631912,0.2473571895141679,-0.44572611886239805,-0.13790485580478182,0.24523877720438667,0.18356191945273453,-0.01650280198631912
306,306.0,0.0,0.12834543437061816,0.06846917815048952,0.29691373584676733,-0.32310005984063495,-0.005437515405472015,0.5118187070057822,0.389976861942926,0.06846917815048952
357,357.0,0.0,0.13310245379399405,0.2270051762385999,0.3769126508638288,-0.5364161758684766,0.2270051762385999,0.28102258880414793,0.6114315415311357,0.08246913826456329
408,408.0,0.0,0.10162691243514414,-0.0043012423114078555,0.3652309255595259,-0.43088406664357026,-0.06100073946265706,-0.0043012423114078555,0.3906307635558833,0.6136898470374726
459,459.0,0.0,-0.10184589974592699,-0.0711355570982635,0.1360156358444514,-0.22708733583194243,-0.2765245255114616,-0.0711355570982635,0.10029844740283687,-0.03478052769080435
510,510.0,0.0,0.03947690817382505,0.1267167345512096,0.29472068392497425,-0.39229473087461814,0.46329307369977835,0.1267167345512096,0.16939405117199283,-0.1697245876792374
561,561.0,0.0,-0.12748648904003962,-0.16505793430787952,0.17186032799658107,-0.382877704639224,-0.16866650234163175,-0.06886356906018337,0.14803326514872062,-0.16505793430787952
612,612.0,0.0,-0.09760263366012235,-0.00950282192928224,0.2371291350923037,-0.5640531006897421,-0.012358885876263246,-0.003922577638394602,0.1018242178330705,-0.00950282192928224
663,663.0,0.0,-0.1428802674976245,-0.07833595915681155,0.15850941233639826,-0.42044345059998117,-0.20250431353216655,-0.04955167073650261,0.03643405653733936,-0.07833595915681155
714,714.0,0.0,-0.005866234199609116,-0.15747110254530616,0.3448821574054128,-0.3950584233567447,0.14587133349765838,-0.15747110254530616,0.5896348210992253,-0.21230779969287836
765,765.0,0.0,0.1671973819641443,0.23282250762885207,0.15883247756197694,-0.10282353311706718,0.09299975351244766,0.2584920407598539,0.23282250762885207,0.35449614103663507
816,816.0,0.0,0.08533983683634107,0.06633029535528394,0.1704494108236926,0.19094674183490276,0.05570125708651717,-0.19931354891328087,0.31303443881828236,0.06633029535528394
867,867.0,0.0,0.020815412518549792,0.031861233961366545,0.18862505402264357,0.028707757235992497,0.15721469065812185,0.031861233961366545,0.21429529526172814,-0.3280019145244601
918,918.0,0.0,-0.0501529242926525,-0.08855413205687725,0.1767184716308344,-0.3008881610028031,0.1212620162681786,-0.08855413205687725,0.17527916568860852,-0.15786351036036936
969,969.0,0.0,0.024415570671485403,0.03829853340259352,0.2306023691442153,-0.2877862114579069,-0.17385753019472522,0.03829853340259352,0.32567653666879026,0.21974652493867533
1020,1020.0,0.0,-0.004377341547138725,-0.029482443066795334,0.18219930925715103,-0.2777550313375957,-0.10349026374168101,-0.029482443066795334,0.16481673988129164,0.2240242905290868
1071,1071.0,0.0,-0.14005899183779882,-0.284640926948926,0.25372526517432886,-0.35247708733583194,-0.0733053980773971,0.32854500526732283,-0.31841655209416186,-0.284640926948926
1122,1122.0,0.0,-0.025238031615650296,-0.017863909219631904,0.2948541645435771,-0.3646578060533527,0.14491003204338182,-0.316699597547418,0.4281211226987693,-0.017863909219631904
1173,1173.0,0.0,0.15283347215232856,0.15696992052580389,0.12574518517417563,-0.016330194324588276,0.04455016021690904,0.31548107404836234,0.15696992052580389,0.2634964002951558
1224,1224.0,0.0,-0.05909251526475823,-0.11916917615619332,0.24130506151062053,-0.27662908254858115,0.2846832634951935,-0.336958157553632,0.15261057643942183,-0.11916917615619332
1275,1275.0,0.0,0.06731288671670486,0.09802464950242294,0.22611920801884156,0.0777377090485338,-0.3576583682524032,0.2721239689883343,0.24633647429663655,0.09802464950242294
1326,1326.0,0.0,-0.1700265752388918,-0.14949922837076007,0.11161846478726566,-0.14949922837076007,-0.36073453290608826,-0.19211892012602738,-0.01674994131652196,-0.13103025347506134
1377,1377.0,0.0,0.021936985516483442,-0.07477717237252375,0.2393233475400235,-0.07477717237252375,-0.2253832881439487,0.21021229495065233,-0.19025183595452883,0.3898849291027662
1428,1428.0,0.0,0.09467318161227534,0.050819892022400205,0.11276555394954267,-0.059525684230418055,0.2608429874291348,0.04075985377718004,0.050819892022400205,0.1804688590630796
1479,1479.0,0.0,0.027286193894205214,-0.019605681710812353,0.10446052487767524,-0.019605681710812353,-0.04523539561252148,0.06499439285003432,0.21364139364877088,-0.07736373970444531
1530,1530.0,0.0,-0.04565048546277388,0.007828444663544423,0.16881954587373668,0.048360681553336796,0.007828444663544423,-0.12642059935821182,-0.3260454042453306,0.16802445007279176
1581,1581.0,0.0,0.004646617358616294,0.0152987307486378,0.0934757301544634,0.0152987307486378,0.1345279763371949,-0.15084447076757262,-0.022635055833137813,0.046885906307959205
1632,1632.0,0.0,-0.13510871187587506,-0.1216969467323456,0.11301050543765127,0.05337627161349251,-0.2599901404979047,-0.2428599863098156,-0.10437275745280186,-0.1216969467323456
1683,1683.0,0.0,0.06879024754934596,-0.006505482713524038,0.12553176349830436,-0.030251015716040396,-0.017165393147646025,0.3039318015214553,-0.006505482713524038,0.09394132780248492
1734,1734.0,0.0,0.13252676642434494,0.05058034022695084,0.2663286299175715,-0.11684671348933882,0.6419028839043629,0.11573545903382268,-0.02873813755407281,0.05058034022695084
1785,1785.0,0.0,-0.005245296437525371,0.04984780592950055,0.24748718254311164,0.0695489905829737,-0.4095686467833375,0.04984780592950055,0.35161463398276366,-0.08766926589952728
1836,1836.0,0.0,0.09258385191555797,0.056474437707234065,0.0596917499639706,0.05337627161349251,0.17336455508996812,0.056474437707234065,0.15479024848261286,0.024913746684482332
1887,1887.0,0.0,-0.027970562874818704,0.014582217882901176,0.2631600119955689,0.014582217882901176,-0.41802809958097115,0.28575589721681477,0.20492270547600677,-0.22708553536884507
1938,1938.0,0.0,-0.026140949941141873,-0.004447280776977973,0.16090741117809568,0.0340304242386066,-0.1348286911510968,0.22516954953467938,-0.25062875155092057,-0.004447280776977973
1989,1989.0,0.0,0.02036374405059525,0.11396904852122933,0.20670957649731506,0.2628027463701931,-0.22826719250677835,-0.22392675265914838,0.17724087052748058,0.11396904852122933
2040,2040.0,0.0,-0.002357620602361432,0.11888601933797356,0.2142687378801485,0.11888601933797356,-0.0709982745871333,0.18768174690635822,0.14519969149257217,-0.3925572861615778
2091,2091.0,0.0,0.05256173162026993,0.03191372674151921,0.14931122449120712,0.21530817926994422,-0.17981759921123988,-0.01736517353036835,0.2127695248314945,0.03191372674151921
2142,2142.0,0.0,0.014834188409760363,0.005544039186939003,0.14520454117912315,0.1387436616169569,-0.23018979541533147,0.005544039186939003,-0.023506924650414193,0.18357996131065157
2193,2193.0,0.0,-0.06153924233476762,-0.09404476981557085,0.15698938502942514,-0.11858681616327046,0.20508750308109444,-0.09404476981557085,-0.023288957446095052,-0.27686317132999616
2244,2244.0,0.0,0.08602479073904777,0.012360003301179229,0.26299915545108327,-0.1316887657081668,-0.16770520088735505,0.012360003301179229,0.1584956909560375,0.558662226033544
2295,2295.0,0.0,-0.15811297874425176,-0.13628023851783905,0.12030690308550009,-0.1793880507700545,0.004175499137293542,-0.11335666813925147,-0.36571543543140744,-0.13628023851783905
2346,2346.0,0.0,-0.04141238556262867,-0.017403842929479198,0.21868101771930565,0.0028109350886585983,0.30006408676361856,-0.1120313417837047,-0.017403842929479198,-0.3805017649522366
2397,2397.0,0.0,-0.07543800778971643,-0.1470578240374392,0.11808314248083826,0.11888601933797356,0.0039832388464383535,-0.1470578240374392,-0.18327688541631745,-0.1697245876792374
2448,2448.0,0.0,0.0757553217755153,0.08607838304165658,0.19947488082193549,0.2223709489464898,0.08607838304165658,0.3592168437814038,-0.14774823111230337,-0.1411413357796702
2499,2499.0,0.0,-0.07324922300711008,0.0015680601202990097,0.17792950752351794,0.06606878523511074,-0.42148878481636676,0.0015680601202990097,-0.04508567787800555,0.03269150230341217
2550,2550.0,0.0,-0.0019603423310747235,-0.02019723590531076,0.08147697106339227,-0.032195836351610906,0.043973379344343165,-0.12282328496458507,0.12144126622178995,-0.02019723590531076
2601,2601.0,0.0,-0.08627509841830554,-0.09739146042318972,0.18044886801552576,0.08377688891688453,0.10069016514666025,-0.11960463524397158,-0.3988464504879112,-0.09739146042318972
2652,2652.0,0.0,0.2080333474940665,0.14255230042079653,0.16533056987413305,0.22810305187238197,0.07319694355435051,0.077300994722968,0.5190134468998355,0.14255230042079653
2703,2703.0,0.0,0.0359475889046037,0.03955780920285974,0.1586466477137111,0.03955780920285974,0.2554596992851862,-0.11070601542815808,-0.16540357466215094,0.1608300261252816
2754,2754.0,0.0,-0.013623440608371035,0.0010993344836086867,0.13858111834457373,0.025739346792227138,0.0010993344836086867,-0.0037332453018878997,-0.2602193085409611,0.168996669525158
2805,2805.0,0.0,0.04860414569231162,0.09793821940219538,0.23717595499766328,0.02389688513747598,0.16971160956371723,0.09793821940219538,-0.37988330371214923,0.3313573180703187
2856,2856.0,0.0,0.07661434498014286,0.05997451460380261,0.1351238804320116,0.11663412175994449,0.31236874537835846,-0.06431959298402327,0.05997451460380261,-0.041586063857367954
2907,2907.0,0.0,-0.0439493337018433,-0.038381062882608986,0.12255995526208932,0.09053258165097156,0.09126941089474988,-0.038381062882608986,-0.20180409778344124,-0.16136350038888772
2958,2958.0,0.0,-0.08450227160937267,-0.0422521042218571,0.2990558360854836,0.07978488866492384,0.3640867636184373,-0.44790690674654215,-0.0422521042218571,-0.3762239993618252
3009,3009.0,0.0,0.08007026427592524,-0.02185757928884125,0.188678139606102,-0.02185757928884125,0.24450086270643354,0.35429420303223025,-0.022417088628818676,-0.15416907644137773
